#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  45
# Band-Index    1
   0.44903    -12.949574    -12.941798
   0.43176    -12.957180    -12.948874
   0.41449    -12.964267    -12.955454
   0.39722    -12.970824    -12.961526
   0.37995    -12.976845    -12.967085
   0.36268    -12.982329    -12.972128
   0.34541    -12.987279    -12.976659
   0.32814    -12.991701    -12.980682
   0.31087    -12.995609    -12.984212
   0.29360    -12.999020    -12.987267
   0.27633    -13.001953    -12.989869
   0.25906    -13.004435    -12.992048
   0.24179    -13.006492    -12.993841
   0.22452    -13.008158    -12.995314
   0.20725    -13.009468    -12.996658
   0.18997    -13.010464    -12.998557
   0.17270    -13.011186    -13.000916
   0.15543    -13.011679    -13.003139
   0.13816    -13.011988    -13.005115
   0.12089    -13.012159    -13.006833
   0.10362    -13.012235    -13.008298
   0.08635    -13.012253    -13.009517
   0.06908    -13.012244    -13.010500
   0.05181    -13.012229    -13.011256
   0.03454    -13.012220    -13.011790
   0.01727    -13.012216    -13.012109
   0.00000    -13.012217    -13.012217
 
# Band-Index    3
   0.00000    -12.994358    -12.994358
   0.01727    -12.995556    -12.995207
   0.03454    -12.998242    -12.996999
   0.05181    -13.000395    -12.998389
   0.06908    -13.001217    -12.998965
   0.08635    -13.001104    -12.998993
   0.10362    -13.000400    -12.998757
   0.12089    -12.999262    -12.998442
   0.13816    -12.997757    -12.998124
   0.15543    -12.995913    -12.997773
   0.17270    -12.993740    -12.997295
   0.18997    -12.991238    -12.996492
   0.20725    -12.988406    -12.994691
   0.22452    -12.985238    -12.991730
   0.24179    -12.981727    -12.988232
   0.25906    -12.977866    -12.984336
   0.27633    -12.973648    -12.980062
   0.29360    -12.969071    -12.975410
   0.31087    -12.964129    -12.970377
   0.32814    -12.958823    -12.964964
   0.34541    -12.953152    -12.959167
   0.36268    -12.947119    -12.952988
   0.37995    -12.940733    -12.946435
   0.39722    -12.934002    -12.939515
   0.41449    -12.926939    -12.932240
   0.43176    -12.919559    -12.924623
   0.44903    -12.911884    -12.916687
   0.46630    -12.903939    -12.908454
   0.48357    -12.895748    -12.899949
   0.50084    -12.887347    -12.891206
   0.51811    -12.878769    -12.882261
   0.53538    -12.870060    -12.873158
   0.55265    -12.861267    -12.863946
   0.56992    -12.852447    -12.854683
   0.58720    -12.843666    -12.845437
   0.60447    -12.835004    -12.836295
   0.62174    -12.826553    -12.827367
   0.63901    -12.818414    -12.818773
   0.65628    -12.810669    -12.810591
   0.67355    -12.803364    -12.802846
   0.69082    -12.796534    -12.795563
   0.70809    -12.790222    -12.788790
   0.72536    -12.784473    -12.782577
   0.74263    -12.779332    -12.776980
   0.75990    -12.774757    -12.772055
   0.77717    -12.769466    -12.767855
   0.79444    -12.765097    -12.764438
   0.81171    -12.762079    -12.761882
   0.82898    -12.760320    -12.760286
   0.84625    -12.759741    -12.759741
   0.84625    -12.759741    -12.759741
   0.86352    -12.760286    -12.760320
   0.88079    -12.761882    -12.762079
   0.89806    -12.764438    -12.765097
   0.91533    -12.767855    -12.769466
   0.93260    -12.772055    -12.774757
   0.94987    -12.776980    -12.779332
   0.96714    -12.782577    -12.784473
   0.98442    -12.788790    -12.790222
   1.00169    -12.795563    -12.796534
   1.01896    -12.802846    -12.803364
   1.03623    -12.810591    -12.810669
   1.05350    -12.818773    -12.818414
   1.07077    -12.827367    -12.826553
   1.08804    -12.836295    -12.835004
   1.10531    -12.845437    -12.843666
   1.12258    -12.854683    -12.852447
   1.13985    -12.863946    -12.861267
   1.15712    -12.873158    -12.870060
   1.17439    -12.882261    -12.878769
   1.19166    -12.891206    -12.887347
   1.20893    -12.899949    -12.895748
   1.22620    -12.908454    -12.903939
   1.24347    -12.916687    -12.911884
   1.26074    -12.924623    -12.919559
   1.27801    -12.932240    -12.926939
   1.29528    -12.939515    -12.934002
   1.31255    -12.946435    -12.940733
   1.32982    -12.952988    -12.947119
   1.34709    -12.959167    -12.953152
   1.36436    -12.964964    -12.958823
   1.38164    -12.970377    -12.964129
   1.39891    -12.975410    -12.969071
   1.41618    -12.980062    -12.973648
   1.43345    -12.984336    -12.977866
   1.45072    -12.988232    -12.981727
   1.46799    -12.991730    -12.985238
   1.48526    -12.994691    -12.988406
   1.50253    -12.996492    -12.991238
   1.51980    -12.997295    -12.993740
   1.53707    -12.997773    -12.995913
   1.55434    -12.998124    -12.997757
   1.57161    -12.998442    -12.999262
   1.58888    -12.998757    -13.000400
   1.60615    -12.998993    -13.001104
   1.62342    -12.998965    -13.001217
   1.64069    -12.998389    -13.000395
   1.65796    -12.996999    -12.998242
   1.67523    -12.995207    -12.995556
   1.69250    -12.994358    -12.994358
 
# Band-Index    4
   1.69250    -12.994358    -12.994358
   1.67523    -12.994375    -12.994247
   1.65796    -12.994422    -12.993921
   1.64069    -12.994472    -12.993376
   1.62342    -12.994473    -12.992606
   1.60615    -12.994346    -12.991605
   1.58888    -12.993979    -12.990367
   1.57161    -12.993253    -12.988882
   1.55434    -12.992102    -12.987142
   1.53707    -12.990522    -12.985138
   1.51980    -12.988543    -12.982858
   1.50253    -12.986192    -12.980292
   1.48526    -12.983485    -12.977432
   1.46799    -12.980428    -12.974267
   1.45072    -12.977024    -12.970790
   1.43345    -12.973269    -12.966993
   1.41618    -12.969162    -12.962871
   1.39891    -12.964701    -12.958419
   1.38164    -12.959884    -12.953636
   1.36436    -12.954713    -12.948523
   1.34709    -12.949188    -12.943079
   1.32982    -12.943312    -12.937311
   1.31255    -12.937096    -12.931226
   1.29528    -12.930547    -12.924834
   1.27801    -12.923679    -12.918150
   1.26074    -12.916507    -12.911187
   1.24347    -12.909051    -12.903967
   1.22620    -12.901335    -12.896514
   1.20893    -12.893382    -12.888849
   1.19166    -12.885222    -12.881003
   1.17439    -12.876888    -12.873008
   1.15712    -12.868417    -12.864899
   1.13985    -12.859848    -12.856714
   1.12258    -12.851221    -12.848491
   1.10531    -12.842577    -12.840267
   1.08804    -12.833946    -12.832077
   1.07077    -12.825345    -12.823943
   1.05350    -12.816788    -12.815891
   1.03623    -12.808340    -12.807972
   1.01896    -12.800126    -12.800274
   1.00169    -12.792278    -12.792904
   0.98442    -12.784918    -12.785963
   0.96714    -12.778142    -12.779525
   0.94987    -12.772043    -12.773645
   0.93260    -12.766710    -12.768357
   0.91533    -12.762223    -12.763681
   0.89806    -12.758653    -12.759694
   0.88079    -12.756059    -12.756597
   0.86352    -12.754484    -12.754630
   0.84625    -12.753955    -12.753955
   0.84625    -12.753955    -12.753955
   0.82898    -12.754630    -12.754484
   0.81171    -12.756597    -12.756059
   0.79444    -12.759694    -12.758653
   0.77717    -12.763681    -12.762223
   0.75990    -12.768357    -12.766710
   0.74263    -12.773645    -12.772043
   0.72536    -12.779525    -12.778142
   0.70809    -12.785963    -12.784918
   0.69082    -12.792904    -12.792278
   0.67355    -12.800274    -12.800126
   0.65628    -12.807972    -12.808340
   0.63901    -12.815891    -12.816788
   0.62174    -12.823943    -12.825345
   0.60447    -12.832077    -12.833946
   0.58720    -12.840267    -12.842577
   0.56992    -12.848491    -12.851221
   0.55265    -12.856714    -12.859848
   0.53538    -12.864899    -12.868417
   0.51811    -12.873008    -12.876888
   0.50084    -12.881003    -12.885222
   0.48357    -12.888849    -12.893382
   0.46630    -12.896514    -12.901335
   0.44903    -12.903967    -12.909051
   0.43176    -12.911187    -12.916507
   0.41449    -12.918150    -12.923679
   0.39722    -12.924834    -12.930547
   0.37995    -12.931226    -12.937096
   0.36268    -12.937311    -12.943312
   0.34541    -12.943079    -12.949188
   0.32814    -12.948523    -12.954713
   0.31087    -12.953636    -12.959884
   0.29360    -12.958419    -12.964701
   0.27633    -12.962871    -12.969162
